Date,Month,Day,Year,Patron,University,Program
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Undergrad,Towson University,Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/13/13,5,13,2013,Grad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Grad,University of Maryland at College Park (UMCP),Public Administration
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Computer & Information Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Grad,University of Maryland at College Park (UMCP),Education
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
